Running Model: FullBCModel(
  (glycinergic_amacrine_cells): AmacrineCellFeedback()
  (gabaergic_amacrine_cells): AmacrineCellFeedback()
)
lr=0.05152182329598098, max_steps=1000, time_reg_weight=0.02049110734470197, sparsity_reg_weight=3.8927961677499236e-07, scale_mean_weight=2.5717471827325356, scale_std_weight=0.6809779474260329
Init Params:

Step 5 (86.97s), Loss: Local=0.2580341577529907, Global=0.24764224290847778, Speed_reg=9.59e-04, Sparsity_reg=1.18e-04, Scaling_mean_reg=1.18e-04, Scaling_std_reg=1.18e-04, Total=8.68e-01
Step 10 (82.80s), Loss: Local=0.11568031311035157, Global=0.15592352151870728, Speed_reg=1.35e-03, Sparsity_reg=1.00e-04, Scaling_mean_reg=1.00e-04, Scaling_std_reg=1.00e-04, Total=5.16e-01
Step 15 (82.58s), Loss: Local=0.09336951971054078, Global=0.1355147361755371, Speed_reg=1.57e-03, Sparsity_reg=1.02e-04, Scaling_mean_reg=1.02e-04, Scaling_std_reg=1.02e-04, Total=4.16e-01
Step 20 (82.62s), Loss: Local=0.09216948747634887, Global=0.11639513969421386, Speed_reg=1.40e-03, Sparsity_reg=1.03e-04, Scaling_mean_reg=1.03e-04, Scaling_std_reg=1.03e-04, Total=3.53e-01
Step 25 (82.73s), Loss: Local=0.08483206033706665, Global=0.10920604467391967, Speed_reg=1.15e-03, Sparsity_reg=1.04e-04, Scaling_mean_reg=1.04e-04, Scaling_std_reg=1.04e-04, Total=3.00e-01
Step 30 (82.75s), Loss: Local=0.08101627826690674, Global=0.10388736724853516, Speed_reg=9.97e-04, Sparsity_reg=1.04e-04, Scaling_mean_reg=1.04e-04, Scaling_std_reg=1.04e-04, Total=2.69e-01
Step 35 (82.56s), Loss: Local=0.08055154085159302, Global=0.09823834896087646, Speed_reg=9.13e-04, Sparsity_reg=1.05e-04, Scaling_mean_reg=1.05e-04, Scaling_std_reg=1.05e-04, Total=2.37e-01
Step 40 (82.97s), Loss: Local=0.07610971927642822, Global=0.09273096323013305, Speed_reg=9.64e-04, Sparsity_reg=1.06e-04, Scaling_mean_reg=1.06e-04, Scaling_std_reg=1.06e-04, Total=2.13e-01
Step 45 (83.63s), Loss: Local=0.0710640549659729, Global=0.09020612239837647, Speed_reg=9.67e-04, Sparsity_reg=1.07e-04, Scaling_mean_reg=1.07e-04, Scaling_std_reg=1.07e-04, Total=2.01e-01
Step 50 (84.78s), Loss: Local=0.06920063495635986, Global=0.0940574049949646, Speed_reg=8.85e-04, Sparsity_reg=1.07e-04, Scaling_mean_reg=1.07e-04, Scaling_std_reg=1.07e-04, Total=2.01e-01
Step 55 (83.85s), Loss: Local=0.06805109977722168, Global=0.08714050054550171, Speed_reg=8.05e-04, Sparsity_reg=1.07e-04, Scaling_mean_reg=1.07e-04, Scaling_std_reg=1.07e-04, Total=1.89e-01
Step 60 (82.94s), Loss: Local=0.06497485637664795, Global=0.08233718872070313, Speed_reg=8.23e-04, Sparsity_reg=1.08e-04, Scaling_mean_reg=1.08e-04, Scaling_std_reg=1.08e-04, Total=1.79e-01
Step 65 (82.99s), Loss: Local=0.06374174356460571, Global=0.07454590797424317, Speed_reg=8.48e-04, Sparsity_reg=1.09e-04, Scaling_mean_reg=1.09e-04, Scaling_std_reg=1.09e-04, Total=1.69e-01
Step 70 (83.59s), Loss: Local=0.06344296932220458, Global=0.07478514909744263, Speed_reg=8.42e-04, Sparsity_reg=1.09e-04, Scaling_mean_reg=1.09e-04, Scaling_std_reg=1.09e-04, Total=1.72e-01
Step 75 (82.86s), Loss: Local=0.06344575881958008, Global=0.07191687822341919, Speed_reg=8.22e-04, Sparsity_reg=1.09e-04, Scaling_mean_reg=1.09e-04, Scaling_std_reg=1.09e-04, Total=1.68e-01
Step 80 (82.63s), Loss: Local=0.06325470209121704, Global=0.06919313669204712, Speed_reg=8.00e-04, Sparsity_reg=1.10e-04, Scaling_mean_reg=1.10e-04, Scaling_std_reg=1.10e-04, Total=1.65e-01
Step 85 (82.86s), Loss: Local=0.061837518215179445, Global=0.06747766733169555, Speed_reg=7.65e-04, Sparsity_reg=1.11e-04, Scaling_mean_reg=1.11e-04, Scaling_std_reg=1.11e-04, Total=1.58e-01
Step 90 (82.82s), Loss: Local=0.06093376874923706, Global=0.06394288539886475, Speed_reg=7.35e-04, Sparsity_reg=1.12e-04, Scaling_mean_reg=1.12e-04, Scaling_std_reg=1.12e-04, Total=1.52e-01
Step 95 (83.05s), Loss: Local=0.060590076446533206, Global=0.06258895397186279, Speed_reg=7.19e-04, Sparsity_reg=1.12e-04, Scaling_mean_reg=1.12e-04, Scaling_std_reg=1.12e-04, Total=1.50e-01
Step 100 (82.95s), Loss: Local=0.05905628204345703, Global=0.060664379596710206, Speed_reg=6.81e-04, Sparsity_reg=1.12e-04, Scaling_mean_reg=1.12e-04, Scaling_std_reg=1.12e-04, Total=1.44e-01
Step 105 (83.10s), Loss: Local=0.058318471908569335, Global=0.06938815116882324, Speed_reg=6.84e-04, Sparsity_reg=1.13e-04, Scaling_mean_reg=1.13e-04, Scaling_std_reg=1.13e-04, Total=1.57e-01
Step 110 (83.03s), Loss: Local=0.06177675724029541, Global=0.0757399320602417, Speed_reg=6.63e-04, Sparsity_reg=1.13e-04, Scaling_mean_reg=1.13e-04, Scaling_std_reg=1.13e-04, Total=1.71e-01
Step 115 (82.90s), Loss: Local=0.061217653751373294, Global=0.07186108827590942, Speed_reg=6.78e-04, Sparsity_reg=1.13e-04, Scaling_mean_reg=1.13e-04, Scaling_std_reg=1.13e-04, Total=1.68e-01
Step 120 (82.80s), Loss: Local=0.06842033863067627, Global=0.07628178596496582, Speed_reg=7.03e-04, Sparsity_reg=1.14e-04, Scaling_mean_reg=1.14e-04, Scaling_std_reg=1.14e-04, Total=1.84e-01
Step 125 (83.09s), Loss: Local=0.06431428194046021, Global=0.06940388679504395, Speed_reg=7.43e-04, Sparsity_reg=1.15e-04, Scaling_mean_reg=1.15e-04, Scaling_std_reg=1.15e-04, Total=1.68e-01
Step 130 (83.58s), Loss: Local=0.06365854740142822, Global=0.06437824964523316, Speed_reg=8.36e-04, Sparsity_reg=1.16e-04, Scaling_mean_reg=1.16e-04, Scaling_std_reg=1.16e-04, Total=1.61e-01
Step 135 (82.92s), Loss: Local=0.06270691156387329, Global=0.0608788251876831, Speed_reg=8.89e-04, Sparsity_reg=1.16e-04, Scaling_mean_reg=1.16e-04, Scaling_std_reg=1.16e-04, Total=1.52e-01
Step 140 (83.15s), Loss: Local=0.060492753982543945, Global=0.059569036960601805, Speed_reg=9.11e-04, Sparsity_reg=1.17e-04, Scaling_mean_reg=1.17e-04, Scaling_std_reg=1.17e-04, Total=1.46e-01
lowering learning rate to  0.02576091164799049
Step 145 (71.08s), Loss: Local=0.05982297658920288, Global=0.058097219467163085, Speed_reg=9.06e-04, Sparsity_reg=1.18e-04, Scaling_mean_reg=1.18e-04, Scaling_std_reg=1.18e-04, Total=1.41e-01
Step 150 (83.36s), Loss: Local=0.05901724100112915, Global=0.057904946804046634, Speed_reg=9.09e-04, Sparsity_reg=1.18e-04, Scaling_mean_reg=1.18e-04, Scaling_std_reg=1.18e-04, Total=1.39e-01
Step 155 (83.15s), Loss: Local=0.05868602991104126, Global=0.056378507614135744, Speed_reg=8.87e-04, Sparsity_reg=1.18e-04, Scaling_mean_reg=1.18e-04, Scaling_std_reg=1.18e-04, Total=1.36e-01
Step 160 (82.87s), Loss: Local=0.0582735538482666, Global=0.055726242065429685, Speed_reg=8.60e-04, Sparsity_reg=1.18e-04, Scaling_mean_reg=1.18e-04, Scaling_std_reg=1.18e-04, Total=1.35e-01
Step 165 (82.99s), Loss: Local=0.05786222219467163, Global=0.05516749620437622, Speed_reg=8.49e-04, Sparsity_reg=1.18e-04, Scaling_mean_reg=1.18e-04, Scaling_std_reg=1.18e-04, Total=1.33e-01
Step 170 (83.05s), Loss: Local=0.05757269859313965, Global=0.05447853803634643, Speed_reg=8.37e-04, Sparsity_reg=1.18e-04, Scaling_mean_reg=1.18e-04, Scaling_std_reg=1.18e-04, Total=1.33e-01
